1/1	15:36:35
1/1	15:41:35
1/1	15:46:35
1/1	15:51:35
1/1	15:56:35
1/1	16:01:35
1/1	16:06:35
1/1	16:11:35
1/1	16:16:35
1/1	16:21:35
1/1	16:26:35
1/1	16:31:35
1/1	16:36:35
1/1	16:41:35
1/1	16:46:35
1/1	16:51:35
1/1	16:56:35
1/1	17:01:35
1/1	17:06:35
1/1	17:11:35
1/1	17:16:35
1/1	17:21:35
1/1	17:26:35
1/1	17:31:35
1/2	17:36:35
1/1	17:41:35
1/1	17:46:35
1/1	17:51:35
1/1	17:56:35
1/1	18:01:35
1/1	18:06:35
1/1	18:11:35
1/1	18:16:35
1/2	18:21:35
1/2	18:26:35
1/2	18:31:35
1/2	18:36:35
1/1	18:41:35
1/1	18:46:35
2/2	18:51:35
2/2	18:56:35
2/2	19:01:35
2/2	19:06:35
2/2	19:11:35
2/2	19:16:35
2/2	19:21:35
2/2	19:26:35
2/2	19:31:35
2/2	19:36:35
2/2	19:41:35
1/2	19:46:35
2/2	19:51:35
2/2	19:56:35
2/2	20:01:35
2/2	20:06:35
2/2	20:11:35
2/2	20:16:35
2/2	20:21:35
2/2	20:26:35
2/2	20:31:35
2/2	20:36:35
2/2	20:41:35
2/2	20:46:35
2/2	20:51:35
2/2	20:56:35
2/2	21:01:35
1/2	21:06:35
1/1	21:11:35
1/1	21:29:17
1/1	21:34:17
0/1	21:39:17
1/1	21:44:17
1/1	21:49:17
